ledger_row	legacy_key
410	dac44a2e54db
411	dac44a2e54db
412	5bcd2893662f
414	ef2f76fa99c1
415	5e060461027c
416	db4cebe5db06
423	035e2fba6186
425	beb59896ec5f
426	8caa299849cf
427	f5861c4c2e8b
428	3a57c7950d26
430	67380d8cfd6e
431	89d165018aab
433	a282791be1f4
434	9af9124a2402
436	d7cb4dd7ba20
438	a3d010bd772f
440	1b407aa8ba89
441	7bcb4512facd
442	718ee0ef62f3
444	730046fbbb59
445	0185c50992e3
446	81ea945de29d
449	d00b23ba9d1b
450	eb66860d9b0d
453	2d71b9a58648
454	49d9d8601f2e
456	c37a272f2bac
457	c0d423385241
459	67fdd48e2144
460	0fccb8a12c6c
461	b4ccc300905b
462	e4b626c37b95
463	ee1cb0577edc
464	f4836070df15
465	216de0dc8b7b
467	4853dbcf03c3
468	df8e9063286c
469	5febfc202eef
471	f61b8945d9bb
472	b6fbb42fe33d
473	fb64f61f2bba
474	8a83a9bd177d
475	b956b011f2fe
478	d42987a9e47e
479	903c44f8511e
480	a1db55757dc7
481	768a6746ad7d
482	dc15852d7bda
483	ea8ccdb907e1
485	81d0e41fb798
486	2c1ceafb3ff7
487	29b00f269923
488	f5cb2dd56936
490	dee06c3e1ffa
492	2d5ac12da653
493	ee919820a689
494	78d2478dd306
496	4c974b1dfb53
497	e581fe6c81d9
498	2759091b4e3f
503	b643ee63efb0
504	f693a02da1cb
506	dce4f1cc013e
507	2acc0380105a
508	a23cbcc35958
510	1dcdd6858de1
511	450307388972
512	3b34fecb6223
514	fe2a8f515fa3
515	7394b22af6af
516	d9e63fb75e93
519	02ed47c61e9e
520	c31e974c50aa
522	032426b2c8db
523	1285479e2395
525	2f779d7e1101
526	60926e98d68a
527	97e4c016f4a0
528	08e78a8cd7bf
529	fc03856bacb3
530	1225a3939718
531	0baf55ef34a2
532	57ceb2081a96
